,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
121,rxn01975_d0_f,2.4859438,2.478506,2.4797997,2.4453235,2.4525795,0.0
122,rxn02159_d0_f,3.2251303,3.4635742,3.2404099,3.257285,3.364863,0.10297578334762354
123,rxn02212_d0,0.0,0.0,0.0,0.0,0.0,1.8887926577182537
124,rxn02213_d0,0.0,0.0,0.0,0.0,0.0,1.8887926577182537
125,rxn02251_d0,0.0,0.0,0.0,0.0,0.0,0.0
126,rxn02305_d0,0.0,0.0,0.0,0.0,0.0,0.0
127,rxn02320_d0_f,0.0,0.13506067,0.0,0.019412527,0.08417776,0.0
128,rxn02373_d0_f,2.83138,2.881115,2.9118752,2.9239058,2.922081,0.0
129,rxn02374_d0,0.0,0.0,0.0,0.0,0.0,0.26014934740452256
130,rxn02380_d0_f,1.9855657,1.90032,1.9239634,1.9086403,1.889707,0.0
131,rxn02465_d0_f,1.7898258,2.2768836,2.0347564,2.114845,2.2229993,0.0
132,rxn02473_d0,0.0,0.0,0.0,0.0,0.0,0.1029757833476236
133,rxn02474_d0_f,1.88812,1.8981133,1.9080814,1.9150954,1.91712,0.0
134,rxn02475_d0,0.0,0.0,0.0,0.0,0.0,0.0
135,rxn02476_d0_f,0.5315411,0.48573038,0.54522914,0.5393892,0.49340412,1.8887926577182537
136,rxn02484_d0,0.30527368,0.44170654,0.33569163,0.3414059,0.4021609,0.0
137,rxn02507_d0,0.0,0.0,0.0,0.0,0.0,0.06503733685113067
138,rxn02789_d0_f,0.018804979,0.0,0.000662443,0.0,0.0,0.4661009140997697
139,rxn02811_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
140,rxn02834_d0,0.0,0.0,0.0,0.0,0.0,0.10297578334762358
141,rxn02835_d0_f,3.4593964,3.5482144,3.5761924,3.5545232,3.560121,0.10297578334762358
142,rxn02895_d0,0.0,0.0,0.0,0.0,0.0,3.438036219292881
143,rxn02914_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
144,rxn02928_d0_f,0.0,0.33380392,0.084242515,0.09457407,0.199668,0.0
145,rxn02929_d0_f,2.8119605,2.1471796,2.6270711,2.5382977,2.3221922,0.0
146,rxn02937_d0,1.5769609,2.1247509,1.7225872,1.7895682,1.968467,3.4380362192928815
147,rxn02938_d0_f,13.238051,13.284761,13.238238,13.22691,13.252153,0.0
148,rxn02988_d0_f,4.4217706,4.70389,4.6793833,4.6652474,4.752513,0.0
149,rxn03004_d0,0.0,0.12920329,0.0,0.0,0.0597797,3.4380362192928815
150,rxn03062_d0_f,0.36687836,0.40495375,0.39826584,0.3934182,0.3889077,0.46610091409976984
151,rxn03080_d0_f,0.5555142,0.39581364,0.5436582,0.52743214,0.40802047,0.0
152,rxn03084_d0,0.10406782,0.94213665,0.38813767,0.43485102,0.7140988,3.4380362192928815
153,rxn03108_d0_f,3.625407,3.6773882,3.6018546,3.5752177,3.6275554,0.0
154,rxn03136_d0_f,9.881589,9.893667,9.918719,9.9672,9.964629,3.4380362192928815
155,rxn03137_d0,7.7354264,8.165748,7.945065,8.081894,8.17093,3.541012002640506
156,rxn03147_d0,7.7819786,7.690685,7.6664867,7.8109727,7.738028,3.438036219292881
157,rxn03175_d0_f,5.1368446,5.126836,5.065346,5.058498,5.08677,0.10297578334762358
158,rxn03891_d0,0.0,0.0,0.0,0.0,0.0,0.0
159,rxn03892_d0,0.0,0.0,0.0,0.0,0.0,0.0
160,rxn03907_d0_f,3.8560336,3.951688,3.9020126,3.901104,3.9202986,0.0
161,rxn03908_d0,0.0,0.0,0.0,0.0,0.0,0.0
162,rxn03909_d0,0.0,0.0,0.0,0.0,0.0,0.0
163,rxn03910_d0,1.04e-12,5.9e-14,4.21e-13,3.28e-13,1.04e-13,0.0
164,rxn03958_d0_f,2.9136317,2.9249296,2.8882015,2.8730984,2.8988318,0.0
165,rxn04113_d0,0.0,0.0,0.0,0.0,0.0,0.0
166,rxn05023_d0,0.0,0.119372286,0.00710731,0.013206445,0.088734,0.0
167,rxn05024_d0,0.0,0.0,0.0,0.0,0.0,0.0
168,rxn05039_d0_f,1.2961806,1.3597274,1.3753619,1.3732635,1.3459193,0.0
169,rxn05040_d0,0.0,0.0,0.0,0.0,0.0,0.0
170,rxn05104_d0,0.0,0.0,0.0,0.0,0.0,0.0
171,rxn05106_d0_f,1.3678777,1.5442817,1.4484575,1.4571385,1.5250038,0.0
172,rxn05287_d0,0.0,0.0,0.0,0.0,0.0,0.0
173,rxn05330_d0_f,0.13385937,0.0,0.081278875,0.06254805,0.015873946,0.9620106075896409
174,rxn05331_d0_f,0.6803538,0.5158856,0.53990775,0.55308056,0.52724624,0.9620106075896415
175,rxn05335_d0_f,0.33973414,0.2732807,0.34651202,0.34078705,0.29740873,0.9620106075896412
176,rxn05337_d0_f,4.4296155,4.482083,4.3735723,4.3689337,4.4218073,0.0
177,rxn05340_d0_f,2.8963625,3.070346,2.9220724,2.911167,2.9987621,0.0
178,rxn05342_d0_f,6.783254,6.8036613,6.825193,6.786229,6.78784,0.0
179,rxn05343_d0,0.0,0.0,0.0,0.0,0.0,0.9620106075896406
180,rxn05345_d0,0.0,0.0,0.0,0.0,0.0,0.9620106075896414
181,rxn05346_d0,0.0,0.0,0.0,0.0,0.0,0.962010607589641
182,rxn05348_d0,0.0,0.0,0.0,0.0,0.0,0.9620106075896414
183,rxn05350_d0,0.7680414,1.1554595,0.87675214,0.8868443,1.0244662,0.9620106075896407
184,rxn05465_d0_f,2.6848187,3.5441744,2.92948,3.0068483,3.4042773,6.7340742531274875
185,rxn05736_d0,0.0,0.0,0.0,0.0,0.0,0.0
186,rxn06556_d0,1.7010194,1.5144908,1.6413802,1.6316469,1.5595782,0.0
187,rxn07441_d0_f,1.3226829,1.5358577,1.478871,1.4932852,1.5548146,0.0
188,rxn07579_d0,0.0,0.0,0.0,0.0,0.0,0.07045711492205826
189,rxn08352_d0,0.0,0.0,0.0,0.0,0.0,0.0
190,rxn08392_d0_f,1.7450306,1.7617223,1.7557868,1.7592567,1.7419685,0.9620106075896415
191,rxn08436_d0_f,4.468923,4.304947,4.4561195,4.4439397,4.380325,0.8915534926675832
192,rxn08756_d0,0.0,0.0,0.0,0.0,0.0,0.0
193,rxn08766_d0,0.0,0.0,0.0,0.0,0.0,0.9620106075896411
194,rxn09444_d0,0.0,0.0,0.0,0.0,0.0,0.0
195,rxn09449_d0,3.3535933,5.2209773,4.2361403,4.318202,4.9046044,0.0
196,rxn09453_d0,0.0,0.0,0.0,0.0,0.0,0.0
197,rxn11040_d0,0.0,0.0,0.0,0.0,0.0,0.0
198,rxn11700_d0,11.887269,15.28886,13.598065,13.696985,14.7325535,0.029808779390101566
199,rxn11702_d0,0.0,0.0,0.0,0.0,0.0,0.0
200,rxn11703_d0,0.0,0.0,0.0,0.0,0.0,0.0
201,rxn12282_d0,0.0,0.0,0.0,0.0,0.0,0.0
202,rxn14012_d0,0.0,0.0,0.0,0.0,0.0,0.0
203,rxn14085_d0,0.0,0.0,0.0,0.0,0.0,0.0
204,rxn14094_d0,1.8072011,1.6723863,1.8405368,1.8315779,1.7535338,0.0
205,rxn14142_d0,1.3499331,1.2537202,1.3762238,1.3681959,1.3118734,0.0
206,rxn14261_d0,1.3499331,1.2537202,1.3762238,1.3681959,1.3118734,0.0
207,rxn15022_d0,0.0,0.0,0.0,0.0,0.0,1.1029248374337488
208,rxn15069_d0,0.0,0.0,0.0,0.0,0.0,0.0
209,rxn15116_d0_f,6.228453,5.827059,5.9420314,5.9910026,5.9349155,0.0
210,rxn15166_d0,0.0,0.0,0.0,0.0,0.0,0.1327845627377252
211,rxn15250_d0_f,4.0777507,3.7917726,4.141901,3.9150572,3.8183293,4.308723566387408
212,rxn15271_d0_f,6.3397474,6.4868803,6.427504,6.467978,6.525904,48.68505344443159
213,rxn15280_d0_f,11.182576,11.194429,11.14135,11.273408,11.235901,0.0
214,rxn15298_d0_f,16.066074,15.285694,15.771065,15.631851,15.385732,0.0
215,rxn15364_d0_f,15.5735855,15.011801,15.238329,15.40803,15.159866,0.0
216,rxn15435_d0,2.2082927,1.9730692,2.1922963,2.1657326,2.073965,0.0
217,rxn15493_d0,0.0,0.0,0.0,0.0,0.0,0.0
218,rxn15494_d0_f,10.021838,9.98926,10.162514,9.92634,9.922047,100.51113926986926
219,rxn17196_d0,1.700748,0.0,0.08364109,0.013890542,0.0,249.34556179793574
220,rxn17744_d0_f,8.7703705,8.879509,8.735306,8.781375,8.878834,0.0
221,rxn17803_d0_f,7.7696204,7.1718726,7.442777,7.465265,7.2698665,0.04064833553195668
222,rxn18935_d0,0.0,0.0,0.0,0.0,0.0,0.9620106075896412
223,rxn18936_d0_f,0.26459125,0.29575366,0.18397643,0.19731092,0.25233105,0.9620106075896409
224,rxn18937_d0_f,2.6860168,2.383976,2.5926547,2.587901,2.4495075,0.9620106075896414
225,rxn19027_d0_f,0.73480946,0.76471686,0.74017775,0.7423739,0.75053924,0.0
226,rxn19029_d0_f,0.13190244,0.12540619,0.1390797,0.1344937,0.12879004,0.0
227,rxn19030_d0,0.0,0.0,0.0,0.0,0.0,0.22492078994349354
228,rxn19071_d0,0.0,0.0,0.0,0.0,0.0,0.0
229,rxn19240_d0_f,4.009759,4.16533,4.078681,4.1062922,4.1890745,0.0
230,rxn19241_d0_f,0.03872061,0.08566414,0.098595336,0.09904752,0.074523255,0.0
231,rxn19242_d0_f,0.5555241,0.6910577,0.61826974,0.6415496,0.656969,0.0
