,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx,v_Control,v_FeLim,v_FeEX,v_ZnLim,v_ZnEx
276,rxn27266_d0_f,8.657166,11.830902,13.807617,12.6779785,12.329651,0.0,0.0,0.0,0.0,0.0,999.9480853522524,520.019295992996,999.9480853522524,999.9480853522524,999.9480853522524
277,rxn27497_d0,0.0,0.0,0.0,0.0,0.0,0.31679398945465786,0.09209647348197221,0.33414245330078624,0.36990344335370146,0.20422617747386732,0.5960476160298663,0.6425853731826092,0.5893400818600116,0.5952237948332997,0.5799951895373873
278,rxn27709_d0,0.0,0.0,0.0,0.0,0.0,0.04420381248204532,0.012850670718414742,0.0466245283675516,0.05161443395633051,0.028496675926586165,0.0727357667132314,0.07256533783619,0.081386489521104,0.084767806542764,0.0602685583238066
279,rxn27927_d0_f,0.0,0.0,0.4494629,0.9154663,0.4621582,0.06998936976323843,0.020346895304156665,0.07382216991529005,0.0817228537641899,0.04511973688376141,1167.746202030388,32535.431110886668,1019.0449812822626,711.1441379661727,623.8631472659423
280,rxn28082_d0_f,0.0,0.0,0.0,0.0,0.0,0.04420381248204532,0.012850670718414742,0.0466245283675516,0.05161443395633051,0.02849667592658616,730.9943829072844,1344.2422152378822,827.4051833280537,989.412325675894,909.5335612430029
281,rxn28083_d0_f,0.0,0.0,0.0,0.0,0.0,0.09024945048417585,0.026236786050096755,0.09519174541708449,0.10537946932750805,0.05818071335011339,1088.4835482304727,1577.098595649791,1371.0511071576198,1077.7418346486752,1213.8703742063135
282,rxn28487_d0_f,0.890625,0.0,0.0,1.7062988,2.0237427,0.0,0.0,0.0,0.0,0.0,1063.441320572471,1123.6582738428065,1121.094408217764,1075.1526889838942,964.808769114116
283,rxn28615_d0_f,0.0,0.0,0.0,0.0,0.0,0.04420381248204533,0.012850670718414742,0.04662452836755161,0.05161443395633051,0.028496675926586165,879.9795091802687,865.0482771043128,918.263868342112,782.5353008852678,874.0179519116897
284,rxn29919_d0_f,1.8759766,0.0,3.9797974,3.5315552,1.276001,0.0,0.0,0.0,0.0,0.0,1023.5468544680084,1026.0999321356596,1004.9646785784907,1001.2637613907212,1014.2269340477828
285,rxn31768_d0,0.48418394,0.42014185,0.21899655,0.43013418,0.29052553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,rxn37018_d0,2.2168562,3.5311449,0.808921,3.5045261,2.3737016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,rxn37266_d0_f,0.06896973,0.0,0.0,0.0,0.32086182,0.0,0.0,0.0,0.0,0.0,841.8292137987244,1263.9041634657235,814.5265588340496,924.8819771361324,857.6698930338348
288,rxn37324_d0,1.421099,3.5870802,1.8286511,3.3286293,1.9546535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,rxn37610_d0,0.48418394,0.42014185,0.21899655,0.43013418,0.29052553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,rxn37651_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.733038729396,1528.421442643688,1113.406994602648,1045.0218997798509,804.8936102632232
291,rxn00211_d0_f,0.5924072,1.5219727,0.5407715,1.3045654,0.6954346,0.07183119528332366,0.020882339917423946,0.07576485859727136,0.08387345517903701,0.0463070983807025,1378.7675407441332,1372.3675019302698,1393.4935149374735,886.2287823917354,932.2247908066514
292,rxn00834_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.7492884763004,830.5959037064041,1210.8311740349338,1081.366971438954,883.4288260301947
293,rxn00213_d0_f,0.0,0.0,0.0,0.0,0.0,0.07183119528332366,0.020882339917423953,0.07576485859727133,0.08387345517903706,0.0463070983807025,999.9455948513028,999.8813949385884,999.5531867120802,1000.0862319578772,999.2954692772362
294,rxn00416_d0,0.0,0.21569282,0.15526769,0.122492306,0.100746594,0.10314222912477247,0.029984898342967733,0.10879056619095373,0.12043367923143782,0.06649224382870106,0.3160503029494957,0.3873391092483855,0.2788282167447386,0.2199705138050037,0.1809197740841824
295,rxn00239_d0_f,10.952759,7.32251,7.229553,7.067322,6.5318604,0.0,0.0,0.0,0.0,0.0,1655.7792573673505,1580.5530994900373,1663.9420753818683,1206.6184815974457,1252.3203034301769
296,rxn00917_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,rxn01007_d0,0.0,0.0,0.0,0.0,0.0,0.07183119528332364,0.020882339917423942,0.07576485859727135,0.083873455179037,0.046307098380702495,0.2489488700683169,0.3404306968423008,0.2361510869340088,0.2118807549676394,0.2426659963018671
298,rxn00495_c0,0.0,0.0,0.0,0.0,0.0,1.013004036046872,0.2944945372970043,1.0684787750897242,1.1828307781659064,0.6530488233175993,3.1061343859301878,3.197244757136376,3.115782982248031,3.138037103228529,2.9892353150215345
299,rxn00257_c0_f,51.71637,79.70752,48.734985,50.92108,50.946594,0.0,0.0,0.0,0.0,0.0,1193.4794974357449,1193.4794974357449,1193.4794974357449,1193.4794974357449,1177.497657714064
300,rxn00710_c0,0.0,0.0,0.0,0.0,0.0,0.20075898168928913,0.058363462846133585,0.21175306633596352,0.23441555421833418,0.12942240316657877,0.5942574251607529,1.4791421585936484,0.5521298171030233,0.5649959664490486,0.6079595402147827
301,rxn01611_c0,0.0,0.0,0.0,0.0,0.0,1.013004036046872,0.29449453729700437,1.0684787750897242,1.1828307781659066,0.6530488233175994,,,,,
302,rxn00499_c0_f,38.75537,39.86841,39.563904,38.0625,39.042664,0.0,0.0,0.0,0.0,0.0,1239.8810005790965,860.4388291901596,891.5894299039622,1076.5124633966293,1000.1561764073524
303,rxn04954_c0_f,43.71924,40.185913,40.61206,44.78955,42.65631,0.0,0.0,0.0,0.0,0.0,936.2799999889522,1285.8507263263366,1168.267552190935,957.4303364397106,850.5755455337902
304,rxn00154_c0,0.0,0.0,0.0,0.0,0.0,3.1526527427298627,0.9165205445296001,3.325300216947405,3.6811844417937722,2.032406674314055,4.542405076966351,5.151155309489188,5.151155309489188,5.151155309489188,5.050767170573124
305,rxn00799_c0_f,40.771545,37.06958,45.20233,23.672241,0.09509277,0.0,0.0,0.0,0.0,0.0,817.9018213592266,997.4196238665792,837.7824733974767,892.5351197489086,848.6832084841278
306,rxn01361_c0_f,13.870894,14.913307,14.474994,14.576925,14.636669,0.20075898168928907,0.05836346284613356,0.21175306633596339,0.2344155542183341,0.12942240316657871,,,,,
307,rxn09736_c0_o,137.93005,140.92772,136.0602,137.45934,141.55835,0.0,0.0,0.0,0.0,0.0,,,,,
308,rxn05238_c0_i,161.12828,161.0352,161.12225,161.12285,161.06818,0.14366239056664734,0.0417646798348479,0.15152971719454264,0.16774691035807404,0.09261419676140502,,,,,
309,rxn08730_c0_o,361.24503,357.78485,358.33783,357.67596,357.77264,313.16743500561006,91.0421830384489,330.3172992859651,365.6689091678675,201.88826268639033,,,,,
310,rxn31154_d0_i,443.34824,168.3996,172.95174,168.70201,173.88177,679.6682432312241,197.58912865435587,716.888646198327,793.61235338518,438.15871476740466,,,,,
311,rxn05467_c0_i,231.45918,236.4601,233.35857,234.15088,233.29358,84.53868627659962,24.57658648220021,89.16824488973322,98.71131458063313,54.499180292697844,,,,,
312,rxn05468_c0_i,116.81003,137.73222,138.28473,138.78032,136.74898,0.0,0.0,0.0,0.0,0.0,,,,,
313,rxn09121_c0_o,339.0506,340.464,341.54294,340.18604,340.13712,293.4635855917385,85.31399656571554,309.53441576612886,342.66177523183325,189.18586939211448,,,,,
314,rxn05319_c0_i,358.36282,354.92545,350.84027,355.63583,355.20956,338.3927089635933,98.37552537283494,356.92397493664487,395.12311602533055,218.1501282761961,,,,,
315,rxn05238_d0_o,68.96186,68.978035,68.96298,68.96285,68.97312,0.0,0.0,0.0,0.0,0.0,,,,,
316,rxn05319_d0_o,1.0282605,6.4429984,3.5544064,4.089672,0.8837516,0.0,0.0,0.0,0.0,0.0,,,,,
317,rxn05467_d0_o,46.901234,43.204567,48.87341,47.5168,48.567738,0.0,0.0,0.0,0.0,0.0,,,,,
318,rxn05468_d0_o,137.08083,99.77757,98.329704,97.858185,102.19516,84.93090302110176,24.690609412595478,89.58194044456117,99.16928515192481,54.75202892347147,,,,,
319,rxn08730_d0_i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
320,rxn09118_d0_i,0.38486603,0.036811747,0.05380024,0.08355527,0.93509126,0.0,0.0,0.0,0.0,0.0,,,,,
321,rxn09121_d0_i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
322,rxn09736_d0_i,95.60863,90.30115,98.60985,96.63821,89.170456,17.43195763484653,5.067715542268164,18.386577030612116,20.354367090820343,11.237782887798911,,,,,
323,rxn09817_d0_i,5.336797,5.2321043,5.4710937,5.7472043,6.867509,0.0,0.0,0.0,0.0,0.0,,,,,
