rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx
rxn02373_d0_f,4.4521804,4.414993,4.534084,4.5475926,4.4879427
rxn02374_d0,-3.13501,-3.1655047,-3.2113962,-3.2089467,-3.1911893
rxn02380_d0_f,3.785425,3.74211,3.7472997,3.7382836,3.733774
rxn02465_d0_f,0.466175,0.6975305,0.53402,0.57169557,0.6505605
rxn02473_d0,-0.14889742,-0.16322912,-0.16447894,-0.15013066,-0.15802921
rxn02474_d0_f,5.7212186,5.7166433,5.6694837,5.690346,5.712409
rxn02475_d0,-3.3788333,-3.300937,-3.2670746,-3.2791166,-3.2904155
rxn02476_d0_f,-0.039602924,-0.03975801,-0.035729516,-0.03659769,-0.04004422
rxn02484_d0,-1.1835796,-1.1258826,-1.1717674,-1.1699462,-1.1479352
rxn02507_d0,-5.973989,-5.8130336,-5.949922,-5.9372125,-5.8772407
rxn02789_d0_f,0.0865764,0.09762415,0.09834097,0.10312301,0.09563091
rxn02811_d0_f,2.5210938,2.2845562,2.3961296,2.3902,2.3172085
rxn02834_d0,-3.4439228,-3.404074,-3.326786,-3.3374918,-3.3479102
rxn02835_d0_f,0.2762184,0.43439338,0.30710083,0.31647703,0.40326053
rxn02895_d0,-1.0999492,-0.63988775,-0.90203285,-0.9336452,-0.7424277
rxn02914_d0_f,-1.0536937,-0.88763547,-0.9846472,-0.9737137,-0.9617204
rxn02928_d0_f,-0.40006015,-0.21797413,-0.36759666,-0.35790336,-0.2710492
rxn02929_d0_f,1.767645,1.7537559,1.8538567,1.8430797,1.830008
rxn02937_d0,7.3782644,8.155481,7.6355114,7.7258043,8.024047
rxn02938_d0_f,1.1717261,1.1178776,1.1508404,1.1290182,1.114858
rxn02988_d0_f,6.812789,6.9449277,7.0100255,6.9646254,6.969043
rxn03004_d0,1.8899459,2.6494963,2.212033,2.288371,2.528544
rxn03062_d0_f,0.27656457,0.36368337,0.31792372,0.31736022,0.3512709
rxn03080_d0_f,0.512714,0.40023488,0.4840779,0.48244083,0.42185393
rxn03084_d0,5.3951,6.397654,5.774602,5.884222,6.2245126
rxn03108_d0_f,1.5416927,1.669728,1.5398419,1.5304514,1.5988119
rxn03136_d0_f,11.776406,11.89202,11.860548,11.852862,11.910187
rxn03137_d0,10.320729,10.993913,10.56148,10.692706,10.8884945
rxn03147_d0,11.825327,11.978011,11.910068,11.96282,12.004082
rxn03175_d0_f,1.4010965,1.5874732,1.491469,1.5199127,1.5679344
rxn03891_d0,-2.920963,-3.0011609,-2.9449785,-2.9494247,-2.9728346
rxn03892_d0,-2.6070478,-2.6766143,-2.6281981,-2.6310213,-2.6506693
rxn03907_d0_f,0.08411902,0.10983037,0.09060941,0.09065233,0.10386946
rxn03908_d0,-3.230508,-3.275246,-3.2394369,-3.243727,-3.257145
rxn03909_d0,-4.4213476,-4.2648373,-4.3458757,-4.346258,-4.287399
rxn03910_d0,-1.9594707,-2.1827736,-2.050715,-2.069323,-2.1231716
rxn03958_d0_f,4.3047547,4.208994,4.2492757,4.2540364,4.219401
rxn04113_d0,-2.4100237,-2.4728634,-2.4673028,-2.4634118,-2.4583342
rxn05023_d0,-2.186641,-1.9485207,-2.1002471,-2.0882514,-2.012687
rxn05024_d0,-0.43255097,-0.3429388,-0.46300718,-0.4520946,-0.40658447
rxn05039_d0_f,0.87132686,0.9004005,0.8814977,0.8769577,0.88024616
rxn05040_d0,-2.6921387,-2.7660413,-2.8014772,-2.7791429,-2.7948694
rxn05104_d0,-0.60273427,-0.5967916,-0.62396497,-0.61685073,-0.60979897
rxn05106_d0_f,0.92707825,0.958557,0.94748324,0.9354036,0.9504282
rxn05287_d0,-2.2829437,-2.3346384,-2.2999651,-2.2990844,-2.312003
rxn05330_d0_f,0.09124829,0.09567873,0.08300293,0.08294156,0.101311654
rxn05331_d0_f,-0.010505375,-0.005350603,-0.0112591,-0.007778911,-0.003912087
rxn05335_d0_f,-0.20218709,-0.19949864,-0.20786765,-0.20349833,-0.20008245
rxn05337_d0_f,5.4203496,5.506821,5.4219217,5.4156675,5.4653363
rxn05340_d0_f,5.1486793,5.2361937,5.1599016,5.1515718,5.1797824
rxn05342_d0_f,6.8551674,6.8880196,6.8740225,6.863012,6.864362
rxn05343_d0,-0.9222165,-0.8301381,-0.89275664,-0.88977015,-0.8559866
rxn05345_d0,-3.325486,-3.243927,-3.3093529,-3.3010714,-3.2671483
rxn05346_d0,-2.8061755,-2.7538078,-2.7750406,-2.7706108,-2.7544675
rxn05348_d0,-2.898478,-2.8745275,-2.875249,-2.8684118,-2.8618262
rxn05350_d0,0.6963399,1.001253,0.7482518,0.7607386,0.8852677
rxn05465_d0_f,0.15569924,0.3229725,0.20526516,0.20511621,0.25695324
rxn05736_d0,-0.67730916,-0.6056115,-0.65363777,-0.64735216,-0.6254132
rxn06556_d0,1.7058185,1.6997885,1.7369968,1.7327061,1.7189285
rxn07441_d0_f,0.14803427,0.30406675,0.22473066,0.2424684,0.269351
rxn07579_d0,-9.301986,-10.304656,-9.866533,-9.906101,-10.141888
rxn08352_d0,-1.7275476,-1.9787595,-1.8065445,-1.8197337,-1.9054213
rxn08392_d0_f,-0.18582155,-0.19699177,-0.20086709,-0.19932477,-0.20481336
rxn08436_d0_f,1.1211284,1.2279727,1.2435732,1.2375511,1.2470798
rxn08756_d0,-1.6803484,-1.9510602,-1.7768052,-1.7985836,-1.872715
rxn08766_d0,-1.6627214,-1.4088043,-1.5312953,-1.5117372,-1.4452535
rxn09444_d0,-0.67730916,-0.6056115,-0.65363777,-0.64735216,-0.6254132
rxn09449_d0,7.411171,8.72875,8.079705,8.140942,8.486648
rxn09453_d0,-0.67730916,-0.6056115,-0.65363777,-0.64735216,-0.6254132
rxn11040_d0,-6.349094,-6.1545453,-6.254142,-6.2384624,-6.1842394
rxn11700_d0,16.385258,18.857286,17.701551,17.804926,18.431528
rxn11702_d0,-5.871577,-5.593525,-5.7887535,-5.7720475,-5.667223
rxn11703_d0,-3.4574249,-3.3494933,-3.442602,-3.427088,-3.3857079
rxn12282_d0,-6.378787,-7.1559258,-6.8282294,-6.858913,-7.044146
rxn14012_d0,1.2380496,1.2593011,1.2650685,1.2636802,1.263761
rxn14085_d0,-9.722962,-9.956942,-9.833169,-9.842103,-9.900118
rxn14094_d0,-0.43225858,-0.39173514,-0.42902073,-0.42465705,-0.39389926
rxn14142_d0,0.07069414,0.09537825,0.066892445,0.06784722,0.09688763
rxn14261_d0,-1.1874114,-1.0978479,-1.1659464,-1.157595,-1.1151283
rxn15022_d0,-10.273302,-10.368096,-10.280554,-10.431958,-10.399965
rxn15069_d0,-1.4004482,-1.3733953,-1.375652,-1.375733,-1.3663217
rxn15116_d0_f,-0.18221664,-0.23927364,-0.20425607,-0.20049231,-0.22824799
rxn15166_d0,-3.0613787,-3.6803162,-3.2323372,-3.2446918,-3.5121605
rxn15250_d0_f,5.6972795,5.7320514,5.741459,5.7077804,5.722513
rxn15271_d0_f,7.601617,7.8819523,7.644119,7.6717906,7.797392
rxn15280_d0_f,23.46084,23.500319,23.43741,23.602472,23.555265
rxn15298_d0_f,8.807463,8.768116,9.02012,8.9853735,8.869384
rxn15364_d0_f,7.7242107,7.4962807,7.607279,7.679911,7.600731
rxn15435_d0,-2.2747421,-2.399346,-2.31141,-2.3123035,-2.3551867
rxn15493_d0,-2.5475974,-2.4062154,-2.4784544,-2.486577,-2.4392333
rxn15494_d0_f,8.013058,8.469231,8.32819,8.193071,8.284635
rxn17196_d0,3.5142295,-2.5379682,-1.0819378,-1.4775888,-2.1078641
rxn17744_d0_f,-0.020063682,-0.005816657,-0.024123402,-0.017276047,-0.004752412
rxn17803_d0_f,2.5420353,2.1701868,2.4219906,2.4165416,2.1984017
rxn18935_d0,-2.0231123,-2.0144079,-2.0393057,-2.033239,-2.0212295
rxn18936_d0_f,0.049272656,0.08393955,0.059480287,0.06675038,0.080718264
rxn18937_d0_f,-0.18840766,-0.19106267,-0.20654424,-0.20058428,-0.19420187
rxn19027_d0_f,3.5993705,3.5909948,3.6269186,3.62214,3.602028
rxn19029_d0_f,4.542755,4.587471,4.5371156,4.552199,4.5829086
rxn19030_d0,-5.2600875,-5.1165743,-5.1815453,-5.189029,-5.1413045
